id,eixo,objetivo,foco_estrategico,acao,responsavel,prazo_categoria,prazo_qualificador,data_limite,indicador,meta,recursos,status,percentual_execucao,data_atualizacao,evidencia,observacoes,campus
SIGS-01,SIGS,,,Criação de comissão responsável pelo desenvolvimento do projeto executivo do SIGS-UFSB,"PROTIC, PROPA, ASSUS",Curtíssimo,,,Portaria publicada no prazo estabelecido,,,Não iniciada,0,,,PDF p.39,Todos
SIGS-02,SIGS,,,Contratação / designação de servidor(a) de TI dedicado(a) ao desenvolvimento do SIGS-UFSB,"Reitoria, PROTIC",Curtíssimo,,,Servidor(a) de TI contratado / designado,,,Não iniciada,0,,,PDF p.39,Todos
SIGS-03,SIGS,,,Realização de diagnóstico detalhado dos procedimentos utilizados para gestão da informação dos temas afetos ao PLS-UFSB,Comissão,Curtíssimo,,,Relatório finalizado no prazo estabelecido,,,Não iniciada,0,,,PDF p.39,Todos
SIGS-04,SIGS,,,Elaboração de projeto executivo do SIGS-UFSB,Comissão,Curtíssimo,,,Documento final apresentado no prazo estabelecido,,,Não iniciada,0,,,PDF p.39,Todos
SIGS-05,SIGS,,,Definição e contratação de ferramenta(s) de tecnologia da informação que irão compor o SIGS-UFSB,Comissão,Curtíssimo,,,Solução implementada no prazo estabelecido,,,Não iniciada,0,,,PDF p.39,Todos
SIGS-06,SIGS,,,almoxarifado9,Administrativo dos Campi,Curtíssimo,,,,,,Não iniciada,0,,,PDF p.40,Todos
SIGS-07,SIGS,,,Desenvolvimento e Implementação do sistema de monitoramento de água e energia,"PROTIC, PROPA, Coord. de Apoio Administrativo dos Campi",Curtíssimo,,,Sistema instalado no prazo estabelecido,,,Não iniciada,0,,,PDF p.40,Todos
SIGS-08,SIGS,,,Desenvolvimento e Implementação do sistema de monitoramento de materiais de consumo utilizados pela empresa contratada para manutenção e limpeza predial,"PROTIC, PROPA",Curto,,,Sistema instalado no prazo estabelecido,,,Não iniciada,0,,,PDF p.40,Todos
SIGS-09,SIGS,,,"Desenvolvimento e Implementação do sistema de monitoramento de ações de ensino, pesquisa e extensão voltadas para Sustentabilidade","PROTIC, ASSUS, PROGEAC, PROPPG, PROEX",Curto,,,Sistema instalado no prazo estabelecido,,,Não iniciada,0,,,PDF p.40,Todos
SIGS-10,SIGS,,,Desenvolvimento e Implementação do sistema de monitoramento de resíduos sólidos (produção própria),"PROTIC, ASSUS",Curto,,,Sistema instalado no prazo estabelecido,,,Não iniciada,0,,,PDF p.40,Todos
SIGS-11,SIGS,,,Desenvolvimento e Implementação do sistema de monitoramento de resíduos sólidos doados pela Comunidade (ECOPONTOS),"PROTIC, ASSUS",Médio,,,Sistema instalado no prazo estabelecido,,,Não iniciada,0,,,PDF p.40,Todos
SIGS-12,SIGS,,,Desenvolvimento e Implementação do sistema de monitoramento de transporte e mobilidade urbana da UFSB,"PROTIC, ASSUS",Médio,,,Sistema instalado no prazo estabelecido,,,Não iniciada,0,,,PDF p.40,Todos
COMP-01,Compras,,,Capacitar os servidores da área de compras e áreas afins acerca da Lei nº 14.133 de 2021,"DIRAD, PROGEPE",Curtíssimo,,,100%,,,Não iniciada,0,,,PDF p.50,Todos
